Date,series,OPEN,HIGH,LOW,Previous_Close_Rate,ltp,Close_Rate,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades,Daily_Change,7-Day_SMA,30-Day_SMA
15 December 2023,EQ,"3,666.70","3,895.95","3,666.70","3,667.25","3,871.00","3,861.00","3,810.10","3,895.95","3,070.25",8531230.00,32504850648.60,363820.00,0.052832504,"3,660.31","3,570.26"
14 December 2023,EQ,"3,630.00","3,678.00","3,627.60","3,593.55","3,670.00","3,667.25","3,664.15","3,698.40","3,070.25",3290396.00,12056488520.30,217977.00,0.020508967,"3,619.14","3,551.39"
13 December 2023,EQ,"3,643.55","3,650.00","3,563.00","3,672.10","3,597.00","3,593.55","3,596.72","3,698.40","3,070.25",3850968.00,13850861323.25,307799.00,-0.02139103,"3,599.79","3,542.48"
12 December 2023,EQ,"3,638.95","3,698.40","3,631.00","3,642.90","3,665.50","3,672.10","3,673.19","3,698.40","3,070.25",2236866.00,8216432575.75,193557.00,0.008015592,"3,589.55","3,532.52"
11 December 2023,EQ,"3,622.90","3,653.00","3,615.00","3,626.70","3,643.00","3,642.90","3,638.96","3,679.00","3,070.25",1102503.00,4011962538.60,79129.00,0.004466871,"3,566.49","3,514.59"
08 December 2023,EQ,"3,633.00","3,645.00","3,602.05","3,614.90","3,625.00","3,626.70","3,622.26","3,679.00","3,070.25",1641155.00,5944690506.00,111965.00,0.003264267,"3,550.34","3,499.56"
07 December 2023,EQ,"3,605.00","3,630.55","3,591.70","3,604.10","3,618.00","3,614.90","3,615.53","3,679.00","3,070.25",1967653.00,7114113153.35,169670.00,0.002996587,"3,530.78","3,484.13"
06 December 2023,EQ,"3,532.60","3,612.85","3,525.15","3,531.60","3,600.60","3,604.10","3,573.48","3,679.00","3,070.25",1896572.00,6777360136.50,109178.00,0.020528939,"3,511.05","3,470.05"
05 December 2023,EQ,"3,538.00","3,538.00","3,502.80","3,512.45","3,533.60","3,531.60","3,520.66","3,679.00","3,070.25",1377656.00,4850257950.20,74749.00,0.005452035,"3,499.07","3,458.34"
04 December 2023,EQ,"3,544.65","3,547.80","3,498.00","3,511.65","3,514.45","3,512.45","3,514.58","3,679.00","3,070.25",1625213.00,5711934381.15,105864.00,0.000227813,"3,498.89","3,449.86"
01 December 2023,EQ,"3,500.00","3,516.95","3,490.05","3,487.60","3,512.00","3,511.65","3,503.53","3,679.00","3,070.25",1172141.00,4106636662.55,90309.00,0.00689586,"3,498.61","3,442.90"
30 November 2023,EQ,"3,499.45","3,516.65","3,481.00","3,513.75","3,487.90","3,487.60","3,492.69","3,679.00","3,070.25",3266235.00,11407956559.40,136958.00,-0.007442191,"3,499.60","3,434.44"
29 November 2023,EQ,"3,481.00","3,518.00","3,475.80","3,470.15","3,514.60","3,513.75","3,503.48","3,679.00","3,070.25",1441634.00,5050729225.70,140282.00,0.012564298,"3,501.46","3,427.73"
28 November 2023,EQ,"3,457.10","3,481.25","3,433.00","3,457.10","3,473.30","3,470.15","3,454.10","3,679.00","3,070.25",1689195.00,5834649202.90,120747.00,0.00377484,"3,499.47","3,418.09"
24 November 2023,EQ,"3,494.25","3,504.55","3,453.00","3,508.25","3,454.00","3,457.10","3,474.52","3,679.00","3,070.25",1989733.00,6913359986.45,137682.00,-0.014579919,"3,491.24","3,412.75"
23 November 2023,EQ,"3,530.00","3,544.00","3,500.00","3,530.15","3,507.00","3,508.25","3,516.84","3,679.00","3,070.25",2729804.00,9600272250.30,170315.00,-0.006203702,"3,475.54","3,408.62"
22 November 2023,EQ,"3,500.00","3,532.65","3,481.10","3,510.20","3,530.50","3,530.15","3,510.71","3,679.00","3,070.25",1798051.00,6312427531.70,121170.00,0.005683437,"3,456.68","3,403.08"
21 November 2023,EQ,"3,519.60","3,539.05","3,501.00","3,519.60","3,510.00","3,510.20","3,525.61","3,679.00","3,070.25",1807236.00,6371610015.95,141954.00,-0.002670758,"3,432.09","3,395.61"
20 November 2023,EQ,"3,491.25","3,533.90","3,491.25","3,502.45","3,520.00","3,519.60","3,518.20","3,679.00","3,070.25",1475621.00,5191524462.85,133758.00,0.004896572,"3,411.74","3,388.45"
17 November 2023,EQ,"3,497.85","3,524.50","3,492.55","3,497.85","3,499.00","3,502.45","3,510.08","3,679.00","3,070.25",2021292.00,7094891279.55,159877.00,0.001315094,"3,394.49","3,379.70"
16 November 2023,EQ,"3,430.05","3,529.35","3,414.20","3,404.30","3,497.00","3,497.85","3,484.46","3,679.00","3,070.25",3951984.00,13770516229.10,256300.00,0.027479952,"3,377.99","3,370.94"
15 November 2023,EQ,"3,383.10","3,413.00","3,356.05","3,331.55","3,408.60","3,404.30","3,390.15","3,679.00","3,070.25",2059802.00,6983037380.85,117652.00,0.021836683,"3,363.29","3,361.17"
13 November 2023,EQ,"3,356.00","3,356.00","3,327.00","3,357.30","3,332.00","3,331.55","3,333.43","3,679.00","3,070.25",1030990.00,3436731318.90,92128.00,-0.007669854,"3,356.61","3,357.58"
12 November 2023,EQ,"3,350.00","3,359.00","3,345.00","3,333.45","3,358.90","3,357.30","3,355.70","3,679.00","3,070.25",173346.00,581697254.35,22226.00,0.00715475,"3,360.18","3,359.95"
10 November 2023,EQ,"3,338.00","3,347.45","3,322.35","3,347.45","3,341.00","3,333.45","3,331.70","3,679.00","3,070.25",1338557.00,4459665543.60,93667.00,-0.004182288,"3,356.85","3,360.21"
09 November 2023,EQ,"3,390.10","3,391.50","3,342.05","3,381.55","3,350.00","3,347.45","3,363.59","3,679.00","3,070.25",2112352.00,7105080612.55,146431.00,-0.010084133,"3,361.26","3,363.18"
08 November 2023,EQ,"3,371.45","3,401.95","3,369.55","3,370.45","3,382.65","3,381.55","3,387.91","3,679.00","3,070.25",992899.00,3363852490.70,91615.00,0.003293329,"3,365.15","3,365.15"
07 November 2023,EQ,"3,378.00","3,404.15","3,366.00","3,380.25","3,371.55","3,370.45","3,378.26","3,679.00","3,070.25",1191144.00,4023994967.20,82322.00,-0.002899194,"3,362.81","3,362.81"
06 November 2023,EQ,"3,375.00","3,392.30","3,359.00","3,350.90","3,385.00","3,380.25","3,374.03","3,679.00","3,070.25",1099852.00,3710928578.40,69041.00,0.008758841,"3,361.53","3,361.53"
03 November 2023,EQ,"3,382.00","3,387.90","3,344.30","3,360.10","3,351.00","3,350.90","3,362.79","3,679.00","3,070.25",1402598.00,4716646465.75,111516.00,-0.002738014,"3,357.79","3,357.79"
02 November 2023,EQ,"3,343.20","3,375.95","3,343.20","3,330.65","3,363.00","3,360.10","3,363.98","3,679.00","3,070.25",1245384.00,4189448412.50,97073.00,0.008842118,"3,359.51","3,359.51"
01 November 2023,EQ,"3,355.00","3,371.60","3,311.00","3,368.75","3,311.40","3,330.65","3,347.22","3,679.00","3,070.25",1563475.00,5233296947.80,112623.00,-0.011309833,"3,359.32","3,359.32"
31 October 2023,EQ,"3,399.00","3,399.00","3,350.05","3,378.55","3,371.80","3,368.75","3,368.00","3,679.00","3,070.25",999811.00,3367364685.15,109355.00,-0.002900653,"3,373.65","3,373.65"
30 October 2023,EQ,"3,350.00","3,382.85","3,333.75","3,350.95","3,381.00","3,378.55","3,368.57","3,679.00","3,070.25",910972.00,3068672170.25,74251.00,0.00823647,"3,378.55","3,378.55"
